ICO,AR7,AR30,AR180,ICO,Token,Softcap,Hardcap,Start,End,Quarterstart,Duration of offering,Country,Category,ERC20,Rating,Number of experts,Bonus,Policy,Number of team members,Distributed in ICO,US restriction,Restricted countries,Accepted fiat,Major cryptocurrencies,Presale,Amount raised
cryptoindex,0.141422755,0.115332487,0.06152037,cryptoindex,CIX100,3000000,37000000,10/17/2018,3/10/2019,2018q4,144,Malta,"ArtificialIntelligence,Cryptocurrency,Platform",1,3.9,13,1,kyc&whitelist,10,1,0," Afghanistan, Bosnia and Herzegovina, PeopleÉ??s Republic of China, Japan, Guyana, Iran, Iraq, Lao PDR, North Korea, Syria, Uganda, United States, Vanuatu, and Yemen",0,1,0,11037891
streamr,0.377719009,0.032102091,-0.012861501,streamr,DATA,,,10/6/2017,10/26/2017,2017q4,21,Switzerland,"Cryptocurrency,Investment",1,2.3,0,0,0,10,0.65,,,1,1,0,27000000
invictus,0.059455645,0.146065213,-0.13324397,invictus,IHF,2000000,15000000,4/4/2018,5/30/2018,2018q2,56,Cayman Islands,Investment,1,3.3,1,1,kyc&whitelist,15,0.975,,,0,1,0,11539715
xinfin,0.665404946,1.594388411,-0.331768189,xinfin,XDCE,6000000000,15000000000,2/5/2018,3/15/2018,2018q1,38,Singapore,"Other,Investment,Internet,Infrastructure,Cryptocurrency,Businessservices,Banking,Platform,SmartContract,Tourism",1,4.1,12,1,kyc,31,0.1,0, China,0,1,1,15000000
restart-energy,-0.004069783,-0.223057744,-0.181158718,restart-energy,MWAT,10000000,30000000,1/15/2018,1/23/2018,2018q1,9,Romania,"Cryptocurrency,Energy",1,3.6,13,1,kyc&whitelist,14,0.8,,,0,1,0,30000000
playcoin,-0.231285419,-0.408695695,-0.588768851,playcoin,PLY,10000000,33000000,2/15/2018,3/24/2018,2018q1,37,Hong Kong,"Casino&Gambling,Platform",0,2.8,0,1,kyc&whitelist,13,0.1,,,0,1,0,33000000
oneroot,-0.153328036,-0.057914959,0.140823385,oneroot,RNT,,16678080,12/5/2017,1/4/2018,2017q4,30,Singapore,"Platform,Businessservices,Investment,Infrastructure",1,2.4,0,1,0,5,0.375,,,0,1,0,18000000
trade-io,0.417064804,0.066495021,-1.366595499,trade-io,TIOx,,,12/7/2017,1/4/2018,2017q4,28,Switzerland,"Investment,Platform",1,3.8,6,1,0,27,0.55,,,0,1,0,31000000
the-abyss,-0.180412003,-0.365110187,-0.388310054,the-abyss,ABYSS,6000000,18000000,4/18/2018,5/16/2018,2018q2,28,Malta,"Platform,Entertainment",1,4,30,1,kyc&whitelist,12,0.4,0, China,0,1,0,15362418
blue-whale,-0.023326922,-0.143082828,-0.334946172,blue-whale,BWX,15000000,22500000,5/24/2018,6/23/2018,2018q2,30,Singapore,Businessservices,1,3.5,2,1,kyc&whitelist,18,0.5,1," USA, Canada, China, Taiwan, Hong Kong",0,1,0,22700000
iht-coin,-0.109556737,0.007487978,-0.432173524,iht-coin,IHT,25116400,41860248.06,1/10/2018,1/10/2018,2018q1,1,China,"Realestate,SmartContract",1,2.6,0,0,kyc&whitelist,11,0.35,1," USA, China",0,1,0,39999600
horyou,0.07508505,-0.17588022,-0.867455434,horyou,HYT,,124923600,6/21/2018,11/18/2018,2018q2,150,Switzerland,Platform,1,3.8,2,0,kyc&whitelist,29,0.2,1," USA, China, Syria, Libya, Iran, Iraq, North Korea, South Sudan, Cuba",1,1,0,2134409
peerplays,0.480137674,-0.230151642,-4.524105709,peerplays,PPY,,,2/26/2017,5/14/2017,2017q1,77,Canada,"Entertainment,Platform,Software",0,1.5,0,0,0,,0,,,0,0,0,500000
ceek,-0.296695076,-0.155619698,-0.374954958,ceek,CEEK,10000000,50000000,4/16/2018,5/4/2018,2018q2,19,USA,"VirtualReality,Entertainment",1,4.1,8,1,kyc&whitelist,7,0.5,,,0,1,0,17344575
osa,0.11126093,-0.079095274,-0.834986661,osa,OSA,,40000000,7/21/2018,8/31/2018,2018q3,41,British Virgin Islands,"ArtificialIntelligence,Retail",1,4.2,16,0,kyc,8,0.22,1," USA, China",0,1,0,40000000
zebi,0.708773113,0.132985795,-0.526385581,zebi,ZCO,2000000,8000000,3/5/2018,3/31/2018,2018q1,26,Singapore,"Banking,BigData,Businessservices,Internet",1,2.2,0,0,kyc&whitelist,7,0.21,,,0,1,0,8561000
quadrant,0.071498425,-0.301183786,1.464055062,quadrant,eQUAD,3000000,20000000,7/26/2018,7/26/2018,2018q3,1,Singapore,BigData,1,4,2,0,kyc&whitelist,7,0.4,1," USA, Singapore, Hong Kong",0,1,0,15500000
trinity,0.269994333,-0.310960951,-0.520548386,trinity,TNC,,20000000,1/14/2018,1/14/2018,2018q1,1,China,"Platform,Other",0,1.7,0,0,0,7,0,,,0,0,0,20000000
bitex,0.031584621,1.033600756,-2.00505871,bitex,XBX,1000000,,10/28/2018,11/14/2018,2018q4,18,Singapore,"Banking,Platform",1,3.4,0,1,kyc&whitelist,9,0.7,1, USA,1,1,1,2760000
carboneum,-0.275694017,-0.385600424,0.372536491,carboneum,C8,1200000,12000000,6/25/2018,7/7/2018,2018q2,13,Singapore,"Cryptocurrency,Investment",0,4,3,0,kyc&whitelist,6,0.6,1," USA, China",0,1,1,6337157
personal-data-democracy,-0.972128638,-0.941006262,-0.630448388,personal-data-democracy,PDATA,500000,2000000,5/11/2019,6/15/2019,2019q2,35,Germany,"Platform,BigData",1,4,3,1,kyc,18,1,,,0,1,1,2100000
scorum,-0.294304275,0.275138305,-0.288385292,scorum,SCR,,17000000,1/14/2018,2/11/2018,2018q1,28,Belarus,"Sports,Media,Entertainment,Cryptocurrency,Casino&Gambling,Platform",0,3.9,29,0,kyc&whitelist,24,0.93,0, None,0,1,0,5630000
dav,0.003042366,-0.359111481,-0.396319365,dav,DAV,,28949638.08,6/11/2018,6/25/2018,2018q2,15,Switzerland,"Infrastructure,Communication,Platform",1,3.2,5,0,kyc&whitelist,16,0.4,1," USA, China",0,1,0,18559653
signals,-0.036510091,-0.364451253,-0.445615523,signals,SGN,2000000,18500000,3/12/2018,4/30/2018,2018q1,49,Czech Republic,"Investment,Cryptocurrency,BigData,ArtificialIntelligence,Platform,Software",1,3.6,21,1,kyc,9,0.5,1," USA, China",0,1,1,2397062
cryptoads,-0.217274961,-0.625254762,,cryptoads,CRAD,,30000000,5/20/2019,5/27/2019,2019q2,8,Ukraine,Platform,0,4.5,2,1,kyc,6,0.28,1, USA,0,1,1,3230373
boatpilot,2.695044012,-0.046484866,-2.001545224,boatpilot,NAVY,3920000,9850000,4/1/2018,4/30/2018,2018q2,29,Georgia,"Platform,Software,Sports,Tourism,VirtualReality",1,3.9,3,0,kyc,6,0.6125,,,0,1,0,5025224
datarius,1.626273294,0.433649614,-0.356406426,datarius,DTRC,1000000,51000000,3/5/2018,4/5/2018,2018q1,31,Costa Rica,"Banking,Businessservices,Cryptocurrency,Internet,Investment,Platform",1,3.8,25,1,kyc,10,0.73,,,1,1,0,1611752
bitguild,0.686046504,0.36172623,-1.470192296,bitguild,PLAT,,16670000,3/15/2018,4/5/2018,2018q1,21,Cayman Islands,Entertainment,1,3.8,8,1,kyc&whitelist,4,0.45,1," USA, China",0,1,0,13000000
innovative-bioresearch,9.160623143,4.559851542,-2.315951152,innovative-bioresearch,INNBC,1000000,,6/16/2018,8/1/2018,2018q2,46,UK,Platform,1,3.2,0,1,0,3,0.95,,,0,1,1,500000
vikky,-0.412607082,0.061871239,-0.212198619,vikky,VIK,3435750,18278190,5/2/2018,7/31/2018,2018q2,90,Australia,"Businessservices,Communication,Cryptocurrency,Investment,Platform",1,2.2,5,1,0,7,0.76,0, None,0,1,0,147000
comsa,0.363796499,-0.401004214,-0.378635509,comsa,CMS,,,10/2/2017,11/6/2017,2017q4,35,Japan,"Platform,Businessservices",0,1.9,1,1,0,6,0.55,,,0,1,0,95000000
comsa,0.343713683,-0.369327196,-0.378033107,,,,,,,,,,,,,,,,,,,,,,,
pledgecamp,0.171109826,-0.081603026,,pledgecamp,PLG,,3000000,2/18/2019,3/19/2019,2019q1,29,Cayman Islands,"Businessservices,Internet,Platform,Software",1,3.8,6,0,kyc&whitelist,7,0.2,1," USA, China, North Korea, Iran, Bangladesh, Nepal, Macedonia, Bolivia, Ecuador, Pakistan, Algeria, Morocco, Syria.",0,1,0,19000000
atlas-network,-0.291177245,-0.209704585,-1.184339478,atlas-network,ATLS,,13500000,8/16/2018,8/31/2018,2018q3,16,Singapore,"Platform,Tourism",1,2.8,0,1,kyc&whitelist,5,0.35,1,"USA, China",0,1,0,7600000
loltoken-by-eiu-ac,-0.172088725,-0.504669733,,loltoken-by-eiu-ac,LOL,10000000,42000000,9/16/2019,12/15/2019,2019q3,90,France,Education,1,4.2,1,0,kyc,11,0.55,1," USA, CHINA",0,1,0,3000000
hotoken,-0.133537003,-0.258661412,-1.455285146,hotoken,HTKN,2000000,50000000,1/21/2018,3/20/2018,2018q1,58,Thailand,"Infrastructure,Software,Retail",0,3.6,6,0,0,15,0.3,,,0,1,0,27700000
stellargoldcoin,1.821691023,0.26426992,-0.747506542,stellargoldcoin,XLMGOLD,2000000,20000000,6/15/2018,11/15/2018,2018q2,153,India,Cryptocurrency,1,2.6,2,1,0,4,0.2,,,0,1,0,6500000
cedex,-0.060218745,0.224593828,-0.265753391,cedex,CEDEX,,30710245.68,3/17/2018,4/13/2018,2018q1,27,Gibraltar,"Platform,Investment",1,3.6,28,1,kyc&whitelist,13,0.5,1," USA, Afganistan, Iran, Israel",1,1,1,14000000
lendroid,-0.201358084,-0.332817113,-0.64912821,lendroid,LST,,47500000,2/11/2018,2/22/2018,2018q1,12,Singapore,"Cryptocurrency,Investment",0,2.8,0,0,0,8,0.02,,,0,1,0,44768500
mobilinkcoin,-0.227522334,-0.43013389,-0.607191986,mobilinkcoin,MOBL,20000000,230000000,3/16/2018,5/5/2018,2018q1,50,Philippines,Communication,1,3.5,7,1,kyc&whitelist,18,0.344444444,1," USA, Canada",0,1,0,5500000
capdax,0.223878653,0.000965246,-0.667788318,capdax,XCD,,18000000,2/17/2018,3/17/2018,2018q1,28,Hong Kong,"Cryptocurrency,Platform",1,2.1,0,1,kyc&whitelist,9,0.51,1," USA, China, Cayman Islands",0,1,0,10926694
lambda-1,0.632659013,0.761748282,22.50368538,lambda-1,LAMB,3000000,5000000,9/19/2018,10/2/2018,2018q3,14,Singapore,"BigData,Infrastructure,Platform",1,3.3,0,0,whitelist,6,0.05,,,0,1,0,15200000
gochain,-0.032146442,1.939509246,0.58669639,gochain,GOC,1717875,13690000,5/16/2018,5/31/2018,2018q2,16,Saint Kitts and Nevis,"Cryptocurrency,Platform,SmartContract",1,4.1,12,0,kyc&whitelist,6,0.5,1," USA, Canada",0,1,1,13685000
qredit,-0.035148614,0.327452428,-1.975081441,qredit,QRT,,2360370,2/3/2018,2/10/2018,2018q1,8,Netherlands,"Cryptocurrency,Retail",0,2.7,1,0,kyc&whitelist,5,0.9,1," South Korea, China, USA, Bolivia, Equador, Iceland, Sweden, Vietnam, Bangladesh",0,0,1,647314
midas,0.350973689,0.244986684,-0.319423753,midas,MAS,2269600,8170560,7/1/2018,7/22/2018,2018q3,22,Singapore,Platform,1,3.2,3,1,kyc&whitelist,11,0.5,1, USA,0,1,0,8245440
waves,-0.234617688,-1.105792034,-1.067902954,waves,WAVES,,,4/12/2016,5/31/2016,2016q2,49,Switzerland,"Businessservices,Platform",0,4.3,4,1,0,11,0.85,,,0,1,0,16000000
newton,-0.26264042,-1.082076359,-1.206339899,newton,NEW,,7853340,4/16/2019,4/16/2019,2019q2,1,Singapore,"Charity,ArtificialIntelligence,Electronics,Internet,Other,Platform,Retail,SmartContract",0,3.7,4,1,kyc&whitelist,4,0.015,1," USA, China",0,1,1,1107000
cybermiles,-0.204483687,1.2687282,1.014494085,cybermiles,CMT,,700000000,11/21/2017,11/21/2017,2017q4,1,USA,"Platform,Retail",0,3.2,0,0,0,9,0.7,,,0,1,0,32030393
medibloc,1.922080023,5.07195172,-0.14940775,medibloc,MED,2000000,7000000,11/27/2017,12/15/2017,2017q4,19,Gibraltar,"Platform,Health",0,3,4,1,0,7,0.5,,,0,1,0,5280000
vite,-0.207258174,-0.3961696,-0.315913151,vite,VITE,,14258900,6/11/2018,6/30/2018,2018q2,20,USA,"Businessservices,Entertainment",1,3,2,1,kyc,4,0.83,,,0,1,0,28000000
hycon,-0.201701575,-0.400660591,-0.318501727,hycon,HYC,13900000,60000000,3/30/2018,5/11/2018,2018q1,42,South Korea,"Banking,BigData,Businessservices,Platform",0,2.8,4,1,kyc&whitelist,14,0.1,1," USA, China",0,1,0,22932600
veriblock,-0.302773545,-0.686364639,-1.494386783,veriblock,VBK,,7000000,4/2/2019,4/5/2019,2019q2,4,USA,"Cryptocurrency,Platform",0,2.4,0,0,0,6,0.033,,,0,1,0,7000000
vinchain,0.156252674,-0.137536151,0.585225006,vinchain,VIN,3421407,24105367.5,2/1/2018,4/15/2018,2018q1,73,USA,"Businessservices,BigData,Cryptocurrency,Infrastructure,Internet,Other,Platform,SmartContract,Software",1,4,37,1,kyc,19,0.6,,,0,1,0,6197044
coti,-0.148138258,-0.689671632,-0.862628449,coti,COTI,,30000000,5/28/2019,6/3/2019,2019q2,7,Gibraltar,"ArtificialIntelligence,BigData,Businessservices,Cryptocurrency,Infrastructure,Internet,Retail",0,3.9,23,0,kyc&whitelist,23,0.3,0," Afghanistan, Bosnia and Herzegovina, Central African Republic, Cuba, Democratic Republic of the Congo, People's Republic of China, Eritrea, Ethiopia, Guinea-Bissau, Israel, Iran, Iraq, Libya, Lebanon, Somalia, South Sudan, Sudan, Syria, Uganda, United States, Vanuatu, Yemen",1,1,0,11000000
cryptocean,0.345858986,2.096745029,,cryptocean,CRON,25000000,70000000,9/25/2018,12/25/2018,2018q3,91,Estonia,"Businessservices,Banking,Cryptocurrency,Platform",0,4,7,1,kyc,12,0.85,0," China, Singapore",1,1,0,2796880
verasity,-0.186367935,-0.416980161,-1.106371297,verasity,VRA,4000000,25000000,3/1/2019,3/6/2019,2019q1,6,Cayman Islands,"Cryptocurrency,Entertainment,Media,Platform",1,4.3,17,0,kyc&whitelist,18,0.5,1," USA (Accredited only), Cayman Islands, North Korea, Somalia, Yemen",0,1,1,19000000
vexanium,-0.035700117,-0.015909087,-0.332324314,vexanium,VEX,,10009000,6/17/2018,6/28/2018,2018q2,12,Singapore,Platform,0,3.7,1,1,kyc,4,0.4,,,0,1,0,8757600
tokenpay,0.210219265,1.732905316,-0.262605531,tokenpay,TPAY,,40950000,12/7/2017,1/17/2018,2017q4,41,British Virgin Islands,Cryptocurrency,0,3.3,7,1,0,8,0.648,,,0,1,0,24243811
adamant-messenger,-0.062657139,-0.408379857,-2.342399365,adamant-messenger,ADM,500000,8000000,1/30/2018,6/30/2018,2018q1,151,Ireland,"Businessservices,Communication,Internet",0,3.7,0,1,0,7,0.75,,,0,1,1,3997000
enecuum,0.036106428,-0.098333967,,enecuum,ENQ,5967552,23870246,6/21/2018,12/31/2018,2018q2,193,Hong Kong,"Businessservices,Platform",1,3,0,0,kyc&whitelist,13,0.46,,,0,1,0,1500000
sophiatx,0.746175734,1.785188677,-0.051089295,sophiatx,SPHTX,,49957150,12/7/2017,12/17/2017,2017q4,11,Switzerland,"Platform,Businessservices",0,2.9,0,0,0,8,0.3,,,0,1,0,23470357
goldmint,0.368497973,0.070633291,-0.568844995,goldmint,MNTP,,49000000,9/20/2017,11/11/2017,2017q3,52,Russia,"Investment,Platform",1,3.2,13,0,0,11,0.7,,,0,1,0,7300000
utrum,-0.008080796,0.245804798,-0.348178108,utrum,OOT,1000000,5000000,4/24/2018,7/4/2018,2018q2,71,India,"ArtificialIntelligence,Cryptocurrency",0,3.2,0,1,whitelist,8,0.23,0, None,0,1,0,1000000
fiii,-0.316589002,-0.281262706,-2.656744942,fiii,Fiii,15000000,40000000,11/1/2018,12/31/2018,2018q4,60,Hong Kong,"Businessservices,Cryptocurrency,Infrastructure,Retail,Software",0,3.8,14,1,kyc,24,0.17,1," USA, IRAN, North Korea",0,1,0,10708813
exosis,1.870941024,1.317244344,-0.368106418,exosis,EXO,#REF!,10000000,10/21/2018,11/19/2018,2018q4,29,India,"Businessservices,Cryptocurrency,Investment",1,2.2,0,0,0,5,0.78,,,0,1,0,10000000
gohelpfund,-0.103269386,2.628338025,-0.219619531,gohelpfund,HELP,125000,600000,2/24/2018,4/24/2018,2018q1,59,Romania,"Charity,Cryptocurrency,Platform",1,2.7,3,1,kyc,6,0.5,,,0,1,0,114145
filecoin,0.52214709,1.145110234,0.191202177,,,,,,,,,,,,,,,,,,,,,,,
aunite,0.083619174,-0.021146853,-0.838609134,aunite,AUNIT,,,3/26/2018,7/22/2018,2018q1,118,Russia,Platform,1,2.8,0,1,0,12,0.7,,,0,0,0,10690364
nervos,0.197060318,0.161421214,,nervos,CKB,,67200000,10/15/2019,10/30/2019,2019q4,16,Panama,Platform,0,3.8,0,0,0,22,0.2,0," Belarus, Burma, Cote DÉ??Ivoire, Cuba, Democratic Republic of Congo, Iran, Iraq, Liberia, North Korea, Sudan, Syria, and Zimbabwe), and Central African Republic, Crimea, Lebanon, Libya, Somalia, South Sudan, Venezuela, and Yemen",0,1,0,28000000
theta-network,-0.168550898,-0.138187246,0.176886755,theta-network,THETA,,20000000,1/4/2018,1/4/2018,2018q1,1,USA,"Cryptocurrency,Platform,Entertainment,Internet,Media",1,3.4,9,0,0,4,0.5,1," USA, North Korea, Singapore, China",0,1,0,20000000
ocean-protocol,-0.434997855,-0.199459569,-0.41680883,ocean-protocol,OCN,,,4/30/2019,5/3/2019,2019q2,4,Singapore,"ArtificialIntelligence,Platform",1,3.1,3,0,0,32,0,,,0,0,0,10980000
nucleus,-0.250578185,0.060476831,-0.43697346,nucleus,nCash,5000000,40000000,11/1/2017,1/28/2018,2017q4,88,USA,"Platform,Retail",1,3.1,6,0,kyc&whitelist,24,0.5,,,0,1,0,40000000
skrumble-network,-0.202472686,-0.286980191,-0.581102838,skrumble-network,SKM,,16322400,5/5/2018,5/5/2018,2018q2,1,Canada,"Banking,Businessservices,Communication,Entertainment,Internet,Media,Platform,Software",1,2.9,1,0,kyc&whitelist,25,0.26,1,"USA, China",0,1,0,16322400
open-platform,0.182095916,-0.087407289,-0.575729333,open-platform,OPEN,,30000000,2/10/2018,4/17/2018,2018q1,66,Canada,Platform,1,3.1,6,0,0,16,0.5,,,0,1,0,18000000
seal,-0.109731445,-0.336048895,-0.384651871,seal,SEAL,3000000,33000000,5/13/2018,5/27/2018,2018q2,15,Netherlands,"Businessservices,Retail",1,4.2,35,1,kyc,9,0.41,1," USA, China",0,1,1,8685000
decentralized-machine-learning,0.228692426,-0.634578758,-0.57559403,decentralized-machine-learning,DML,,10425492,2/8/2018,4/12/2018,2018q1,63,Singapore,Other,1,2.5,2,0,0,5,0.5,,,0,0,0,10425492
the-bee-token,-0.251280816,-0.308774593,-0.520870826,the-bee-token,BEE,5000000,15000000,1/31/2018,2/13/2018,2018q1,14,USA,Realestate,0,3.6,24,1,0,16,0.3,,,0,1,0,15000000
genaro,-0.073346789,0.117351907,0.043692314,genaro,GNX,,,11/17/2017,11/30/2017,2017q4,14,Singapore,"Cryptocurrency,Infrastructure",1,3.3,0,0,whitelist,12,0.31,1," USA, CHINA",0,1,0,11000000
noia-network,-0.119890422,-0.335390497,,noia-network,NOIA,,6600000,7/4/2019,7/4/2019,2019q3,1,Gibraltar,"Infrastructure,Internet",1,3.9,7,0,kyc&whitelist,12,0.3,1,"USA, China, Japan",0,1,0,6600000
vanta,-0.239062735,-0.495465351,-1.987869951,vanta,VNT,,15000000,8/1/2018,8/21/2018,2018q3,21,Hong Kong,"Communication,Cryptocurrency,Media,Software",1,3.6,2,1,kyc,30,0.35,,,0,1,0,4100000
deepcloud,-0.328635261,-0.702110946,,deepcloud,DEEP,5000000,10000000,7/1/2018,8/1/2018,2018q3,31,Singapore,"Businessservices,ArtificialIntelligence,Infrastructure,Internet,Platform",1,4.3,7,0,kyc&whitelist,11,0.4,,,0,1,1,1000000
verify,-0.302538175,5.247873939,-0.266227445,verify,CRED,1500000,14500000,12/6/2017,12/6/2017,2017q4,1,Singapore,"Platform,Banking",1,2.9,1,0,0,6,0,,,0,1,0,2500000
chainlink,0.029201421,0.213080111,-0.074766002,chainlink,LINK,,,9/19/2017,9/19/2017,2017q3,1,USA,Platform,1,3,3,0,0,2,0,,,0,1,0,32000000
orbs,-0.323967615,-0.14054292,-1.21347644,orbs,ORBS,30000000,133000000,5/1/2018,5/15/2018,2018q2,15,Israel,Platform,1,3.8,1,0,kyc,19,0,1,USA,1,1,1,118000000
telcoin,0.643093265,-0.027444232,-0.244969059,telcoin,TEL,10000000,25000000,12/11/2017,1/11/2018,2017q4,31,Japan,Cryptocurrency,1,3.3,4,0,0,10,0.2,,,0,1,0,25000000
kleros,0.133994685,0.045375154,0.261696479,kleros,PNK Token,,5760000,5/15/2018,7/15/2018,2018q2,61,France,"Legal,Infrastructure,Businessservices,Platform,SmartContract",1,3.1,1,1,kyc,9,0.16,1,USA,0,1,0,2606431
metronome,0.795351216,-0.30041032,-0.306467738,metronome,MTN,,10242818.12,6/18/2018,6/25/2018,2018q2,8,USA,Cryptocurrency,1,3.6,6,0,0,15,0.8,,,0,0,0,10242818
bezant,-0.192376538,-0.359091608,-0.377727784,bezant,BZNT,,40000000,5/3/2018,5/11/2018,2018q2,9,Singapore,"Cryptocurrency,Electronics,Entertainment,Infrastructure,Internet,Platform",1,3,1,1,kyc&whitelist,23,0.5,1,"USA, China",0,1,0,30000000
aergo,-0.483922184,-0.633815007,-1.40246991,aergo,AERGO,,32000000,9/13/2018,10/7/2018,2018q3,24,China,Software,1,3.4,6,0,0,15,0.3,,,0,0,0,29000000
odyssey,1.003190502,-0.216372823,-0.31604158,odyssey,OCN,,50000000,1/17/2018,1/23/2018,2018q1,7,Singapore,"Cryptocurrency,Platform",1,2.4,0,0,kyc&whitelist,9,0.4,1,"USA, Chinese",0,1,0,50000000
videocoin,0.025240952,0.466905448,,videocoin,VID,15000000,50000000,5/16/2018,5/30/2018,2018q2,15,Cayman Islands,Media,0,3.2,0,0,kyc&whitelist,11,0.81,0,None,0,0,0,50000000
shipchain,-0.440076509,-0.458985284,-0.636449745,shipchain,SHIP,,,1/8/2018,1/8/2018,2018q1,1,USA,Other,0,2.6,0,0,0,11,0,,,0,0,0,30000000
phantasma,-0.246261444,-0.590597401,-0.47334205,phantasma,SOUL,,10000000,5/22/2018,5/29/2018,2018q2,8,Portugal,"Other,Communication",0,2.7,1,0,0,8,0.65,,,0,0,0,10000000
amlt,-0.016527115,-0.50781082,-0.454731737,amlt,AMLT,,16000000,12/12/2017,1/30/2018,2017q4,49,UK,"Cryptocurrency,Platform,BigData",1,2.7,0,0,kyc&whitelist,15,0.525,1,"CHINA, USA",0,1,0,17782311
fuzex,0.460653038,0.105303825,-0.458959493,fuzex,FXT,,31724800,1/15/2018,2/2/2018,2018q1,19,Switzerland,Cryptocurrency,1,2.6,0,0,0,14,0,,,0,1,0,31724800
fortuna,-0.301291547,-0.4971396,-0.525489807,fortuna,FOTA,,2000000,1/21/2018,1/21/2018,2018q1,1,Singapore,Platform,1,2.7,0,0,0,5,0.4,,,0,1,0,2000000
atonomi,-0.091964547,-0.464481343,-0.540913714,atonomi,0,,25000000,6/6/2018,6/6/2018,2018q2,1,USA,Other,1,2.2,3,0,0,5,0,,,0,0,0,25000000
aditus,0.031299518,1.223653508,-0.548863206,aditus,ADI,,22500000,11/30/2017,12/20/2017,2017q4,21,Singapore,"Platform,Cryptocurrency",1,1.9,1,1,0,7,0.45,,,0,1,0,7100194
narrative,2.123296787,0.321727789,0.228271686,narrative,NRV,30000,40000000,2/6/2018,3/21/2018,2018q1,43,USA,"Platform,Communication",0,2.8,6,0,0,4,0.65,,,0,1,1,14643000
agora,-0.240597623,-0.057337617,,agora,VOTE,1250000,20000000,8/15/2018,9/15/2018,2018q3,31,Switzerland,Other,1,2.6,0,0,0,9,0.5,,,0,1,1,15000000
drep,-0.316808591,-0.433721881,-0.768132307,drep,DREP,,,8/6/2018,8/6/2018,2018q3,1,Singapore,"Infrastructure,Platform",1,3.1,5,0,kyc&whitelist,8,0.3,1,"USA, China",0,0,0,19800000
blockcloud,-0.325153019,-0.716493547,-1.532014719,blockcloud,BLOC,15000000,80000000,10/11/2018,11/17/2018,2018q4,37,Singapore,Platform,1,2.3,0,0,0,12,0.05,,,1,1,0,15000000
farmatrust,-0.467260233,-0.496400724,-0.119544567,farmatrust,FTT,7000000,20250000,6/25/2018,7/25/2018,2018q2,30,UK,"Infrastructure,Cryptocurrency,Software,Health",1,4.3,19,1,kyc,8,0.6,1,USA,1,1,1,20250000
aelf,-0.013145367,0.539879648,0.145721668,aelf,0,,,11/28/2017,12/10/2017,2017q4,13,Singapore,Platform,1,3.2,1,0,0,10,0.25,,,0,0,0,24750000
iotex,0.008963348,0.127313336,-0.228522454,iotex,IOTX,,,2/1/2018,2/28/2018,2018q1,28,USA,"Charity,Cryptocurrency,Platform,SmartContract",1,4,4,0,whitelist,8,0.24,0,None,0,1,0,14025000
cortex,0.466105022,0.751671627,-0.371182061,cortex,CTXC,,299792458,2/1/2018,2/28/2018,2018q1,27,Singapore,"ArtificialIntelligence,SmartContract",1,3,0,0,0,25,0.5003,,,0,1,0,34870400
ultra,-0.361309442,-0.447075705,,ultra,UTA,5000000,32000000,6/1/2018,6/30/2018,2018q2,29,Estonia,"Platform,Infrastructure,Entertainment,Software,VirtualReality",0,3.5,2,0,0,10,0.35,1,"USA, China, Singapore",1,1,0,5000000
pchain,-0.135543013,-0.44266426,-0.432845523,pchain,PAI,,,5/28/2018,5/28/2018,2018q2,1,China,Cryptocurrency,1,2.6,0,0,0,10,0.35,,,0,1,0,26674000
kambria,-0.135665696,-0.330731303,-2.413666056,kambria,KAT,,19900000,12/1/2018,12/5/2018,2018q4,5,USA,"Cryptocurrency,ArtificialIntelligence,Platform",1,3.5,1,0,kyc&whitelist,6,0.5,1,"China, USA",0,1,0,16000000
insureum,-0.247722698,-0.534512866,-0.576305457,insureum,ISR,5000000,20000000,5/30/2018,6/29/2018,2018q2,30,South Korea,Platform,1,3.9,3,1,0,10,0.65,,,0,1,0,20000000
datx,-0.017580742,-0.123392208,-0.548985459,datx,DATx,,,2/11/2018,3/5/2018,2018q1,22,Singapore,"ArtificialIntelligence,BigData,Businessservices,Communication,Cryptocurrency,Media",1,2.1,0,0,kyc&whitelist,10,0,1,"China, USA",0,1,0,7238500
eos,1.78714569,0.749145183,4.759513862,eos,EOS,,,6/25/2017,6/4/2018,2017q2,344,USA,Cryptocurrency,1,4.1,9,0,0,4,0.9,0, None,0,1,0,4197956135
komodo,0.06766846,-0.351652536,0.698594514,komodo,KMD,,,10/15/2016,11/16/2016,2016q4,32,Malta,"Businessservices,Infrastructure,Other,Platform,SmartContract",0,4.2,4,0,0,28,,,,0,1,0,1983781
viberate,-0.715846673,-0.905866645,-1.13340342,viberate,VIB,1000000,12000000,9/5/2017,9/5/2017,2017q3,1,Slovenia,Entertainment,0,3.9,9,1,0,19,,,,0,1,0,10714285
icon,1.17813171,0.862439452,6.763528619,icon,ICX,,42750000,9/22/2017,9/22/2017,2017q3,1,Japan,"Infrastructure,Platform",0,3.8,3,0,0,30,,1," USA, China, South Korea, New Zeland",0,1,0,42750000
bancor,-0.790761229,-0.664140595,-5.412111588,bancor,BNT,,,6/12/2017,6/12/2017,2017q2,1,Israel,"Platform,Software",0,2.9,1,0,0,12,,,,0,1,0,153000000
loopring,-0.564586261,-0.098480488,3.760329475,loopring,LRC,11338500,27212400,8/1/2017,8/16/2017,2017q3,16,China,Platform,1,3.3,2,0,0,3,,,,0,0,0,45000000
